Date,Time,Currency,Impact,Event,Previous,Forecast,Actual
Jan01.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan01.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan01.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan02.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan02.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan02.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan02.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan02.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan02.2023,08::15,N/A,N/A,N/A,N/A,N/A,N/A
Jan02.2023,08::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan02.2023,08::50,N/A,N/A,N/A,N/A,N/A,N/A
Jan02.2023,08::55,N/A,N/A,N/A,N/A,N/A,N/A
Jan02.2023,09::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan02.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan02.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan02.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan03.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan03.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan03.2023,01::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan03.2023,05::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan03.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan03.2023,08::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan03.2023,08::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan03.2023,08::55,N/A,N/A,N/A,N/A,N/A,N/A
Jan03.2023,09::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan03.2023,14::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan03.2023,14::39,N/A,N/A,N/A,N/A,N/A,N/A
Jan03.2023,14::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan03.2023,15::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,12::01,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,12::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,07::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,07::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,07::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,08::15,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,08::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,08::50,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,08::55,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,09::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,09::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,15::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,19::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan04.2023,23::50,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,01::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,03::35,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,05::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,07::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,09::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,09::58,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,10::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,24::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,13::15,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,13::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,14::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,15::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,16::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan05.2023,23::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan06.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan06.2023,07::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan06.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan06.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan06.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan06.2023,07::36,N/A,N/A,N/A,N/A,N/A,N/A
Jan06.2023,07::45,N/A,N/A,N/A,N/A,N/A,N/A
Jan06.2023,09::30,N/A,N/A,N/A,N/A,N/A,N/A
Jan06.2023,10::00,N/A,N/A,N/A,N/A,N/A,N/A
Jan06.2023,,N/A,N/A,N/A,N/A,N/A,N/A
Jan06.2023,,N/A,N/A,N/A,N/A,N/A,N/A
